finding_id,finding_category,finding_statement,evidence_table_or_report,strength,caveat,manuscript_ready
F01,Data freeze,Gold data freeze data_freeze_gold_20260526_v1 is the sole data source for modeling.,outputs/reports/data_contract_report.md; outputs/reports/gold_data_summary_report.md,strong,Synthesis phase reads existing reports/tables only and does not modify gold data.,True
F02,Model,Primary production candidate concentration model is R4_river_specific_Q_and_season + linear_regression.,outputs/tables/bias_refinement/bias_refinement_recommendation.csv; configs/model_specs/production_candidate_r4_river_specific_q_and_season_linear.yaml,strong,Prediction and flux are within the six ArcticGRO rivers and guarded by range/QC flags.,True
F03,Optical,Optical proxy did not improve the F3 baseline and is excluded from the primary model.,outputs/reports/optical_sensitivity/optical_sensitivity_report.md; outputs/tables/optical_sensitivity/optical_model_ranking.csv,moderate,"Optical reflectance is a proxy, not DOC observation; valid-water support and ROI caveats remain uneven.",True
F04,ROI,"ROI QC found no fatal issue or freeze reopen requirement, but visual/manual caveats remain.",outputs/reports/roi_qc/roi_final_qc_report.md,moderate,"External visual GIS review remains a caveat, especially for optical interpretation.",True
F05,Flux,Guarded daily and annual DOC flux were generated with DOC concentration uncertainty only.,outputs/reports/doc_flux/doc_flux_report.md; outputs/tables/doc_flux/annual_doc_flux_summary.csv,strong,Discharge uncertainty is not propagated.,True
F06,Annual trend,"In the core 2003-2024 annual flux cohort, Yukon is the only river with detectable increasing annual DOC flux (slope 0.0218 Tg C yr-1, p=0.0151).",outputs/tables/annual_flux_trends/annual_flux_trends_by_river.csv,moderate,DOC concentration uncertainty only; discharge uncertainty is not propagated.,True
F07,Aggregate,Six-river aggregate annual DOC flux has no detectable trend in the core cohort (aggregate p=0.199).,outputs/tables/annual_flux_trends/annual_flux_trends_aggregate.csv,strong,Six-river ArcticGRO domain is not a full Arctic Ocean DOC budget.,True
F08,May-July,Fixed May-July flux does not explain Yukon annual increase; Yukon May-July fraction decreases.,outputs/tables/may_july_flux/may_july_vs_annual_trend_comparison.csv,moderate,"May-July is a provisional screening window, not a final snowmelt window.",True
F09,Dynamic snowmelt,"Dynamic snowmelt/freshet windows show no detectable window flux trend in the core cohort; Yukon signal is partial, not decisive.",outputs/tables/snowmelt_windows/annual_vs_snowmelt_signal_comparison.csv,moderate,Dynamic snowmelt windows are exploratory/interpretive and do not prove snowmelt attribution.,True
F10,Limitation,Discharge uncertainty is not propagated.,outputs/reports/doc_flux/doc_flux_report.md; outputs/reports/annual_flux_trends/annual_flux_trend_report.md,strong,Flux uncertainty intervals are DOC concentration empirical residual intervals only.,True
F11,Interpretation boundary,Do not claim pan-Arctic large-river DOC flux increase.,outputs/tables/annual_flux_trends/annual_flux_trends_aggregate.csv,strong,"The project covers six ArcticGRO rivers, not all Arctic-draining rivers.",True
F12,Interpretation boundary,Do not claim Yukon increase is driven by snowmelt-window flux increase.,outputs/tables/snowmelt_windows/annual_vs_snowmelt_signal_comparison.csv,strong,Yukon dynamic-window evidence is partial and window flux trends are not detectable.,True
